disease,description,home_remedies,medicine_category,consult_if,severity
panic disorder,Recurrent unexpected panic attacks with intense fear and physical symptoms.,Deep breathing · Grounding techniques · Regular exercise · Limit caffeine · Meditation,SSRIs · Benzodiazepines · Beta blockers · CBT therapy,Attacks increasing in frequency or causing significant life impairment,moderate
vocal cord polyp,Noncancerous growth on vocal cords causing hoarseness and voice changes.,Voice rest · Hydration · Avoid smoking · Honey lemon tea · Steam inhalation,Voice therapy · Corticosteroids · Proton pump inhibitors,Hoarseness lasting more than 2 weeks or breathing difficulty,mild
turner syndrome,Chromosomal condition in females causing short stature and infertility.,Regular monitoring · Healthy diet · Exercise · Emotional support,Hormone replacement therapy · Growth hormone · Fertility treatment,Always consult an endocrinologist for lifelong management,moderate
cryptorchidism,Condition where one or both testicles fail to descend into the scrotum.,Monitor as per doctor advice · No specific home remedy,Hormonal therapy · Surgical orchiopexy,Always requires medical evaluation before age 1,moderate
atrophic vaginitis,Thinning and inflammation of vaginal walls due to reduced estrogen.,Vaginal moisturizers · Avoid irritants · Stay hydrated · Regular sexual activity,Topical estrogen · Lubricants · Oral estrogen if appropriate,"Bleeding, severe pain, or recurrent infections",mild
glaucoma,Progressive optic nerve damage usually from elevated eye pressure causing vision loss.,Regular eye check · Reduce caffeine · Elevate head while sleeping · Avoid heavy lifting,"Eye drops (beta blockers, prostaglandins) · Carbonic anhydrase inhibitors · Surgery","Any sudden eye pain, vision loss, or halos around lights",severe
eating disorder,Serious mental health condition involving abnormal eating behaviors and distorted body image.,Regular structured meals · Support groups · Therapy · Nutritional education,Antidepressants · Antipsychotics · Nutritional supplementation · CBT,"Rapid weight loss, fainting, or medical complications from malnutrition",severe
transient ischemic attack,Brief stroke-like episode caused by temporary blood flow disruption to the brain.,Seek emergency care immediately — TIA is a warning sign of stroke,Antiplatelets · Anticoagulants · Statins · Blood pressure medications,Immediately — TIA requires emergency evaluation to prevent stroke,severe
pyelonephritis,"Bacterial kidney infection causing fever, flank pain and urinary symptoms.",Hydration · Cranberry juice · Rest · Heating pad on back,Antibiotics · Antipyretics · Analgesics · IV fluids if severe,"High fever, severe pain, vomiting, or no improvement after 48 hours",severe
rotator cuff injury,Tear or strain of shoulder muscles and tendons causing pain and weakness.,Rest · Ice pack · Shoulder exercises · Anti-inflammatory foods · Avoid overhead activities,NSAIDs · Corticosteroid injections · Physical therapy · Surgery if complete tear,"Sudden severe pain, inability to lift arm, or worsening weakness",moderate
chronic pain disorder,Persistent pain lasting more than 3 months affecting daily functioning.,Gentle exercise · Mindfulness · Heat or cold therapy · Sleep hygiene · Distraction techniques,"Analgesics · Antidepressants · Anticonvulsants · Opioids (severe, monitored)",Pain significantly impacting daily life or associated with new neurological symptoms,moderate
liver cancer,Malignant tumor originating in liver cells causing pain and liver dysfunction.,Seek emergency care immediately — follow oncologist advice,Sorafenib · Chemotherapy · Radiation · Surgical resection · Transplant,Always requires immediate specialist oncology care,severe
atelectasis,Partial or complete lung collapse causing breathing difficulty and reduced oxygen.,Deep breathing exercises · Incentive spirometry · Frequent position changes · Hydration,Bronchodilators · Mucolytics · Oxygen therapy · Antibiotics if infected,"Significant breathing difficulty, low oxygen saturation, or fever",severe
cirrhosis,Severe scarring of liver tissue from long-term liver damage affecting all functions.,Avoid alcohol completely · Low sodium diet · No raw seafood · Weight management,Diuretics · Beta blockers · Lactulose · Liver transplant evaluation,"Yellowing skin, swollen abdomen, confusion, or vomiting blood",severe
diabetic retinopathy,Diabetes-related damage to blood vessels in the retina causing vision problems.,Strict blood sugar control · Regular eye exams · Healthy diet · No smoking,Anti-VEGF injections · Laser photocoagulation · Vitrectomy · Insulin optimization,"Any sudden vision change, floaters, or blurred vision in diabetic patient",severe
fibromyalgia,"Widespread musculoskeletal pain with fatigue, sleep and mood issues.",Gentle exercise · Warm baths · Regular sleep schedule · Stress reduction · Yoga,Duloxetine · Pregabalin · Milnacipran · Amitriptyline · NSAIDs,Severe pain limiting all activity or associated depression with suicidal thoughts,moderate
peritonitis,Inflammation of the peritoneum lining the abdomen — a medical emergency.,Seek emergency care immediately,IV antibiotics · IV fluids · Surgery · ICU monitoring,Immediately — peritonitis is life threatening,severe
acute pancreatitis,Sudden inflammation of the pancreas causing severe abdominal pain.,Fast (nil by mouth) · IV fluids · Rest · Avoid alcohol · Low fat diet on recovery,IV fluids · Analgesics · Antibiotics · Enzyme supplements · Surgery if severe,"Severe abdominal pain radiating to back, vomiting, or fever",severe
thrombophlebitis,Inflammation of a vein with blood clot formation causing pain and swelling.,Elevate affected limb · Warm compress · Gentle walking · Compression stockings,NSAIDs · Anticoagulants · Compression therapy · Antibiotics if infected,"Sudden severe pain, redness spreading rapidly, or suspected DVT",moderate
